ID,GENE_ID,Description
10_at,10,N-acetyltransferase 2 (arylamine N-acetyltransferase)
100_at,100,adenosine deaminase
1000_at,1000,"cadherin 2, type 1, N-cadherin (neuronal)"
10000_at,10000,"v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)"
10001_at,10001,mediator complex subunit 6
10002_at,10002,"nuclear receptor subfamily 2, group E, member 3"
10003_at,10003,N-acetylated alpha-linked acidic dipeptidase 2
10004_at,10004,N-acetylated alpha-linked acidic dipeptidase-like 1
10005_at,10005,acyl-CoA thioesterase 8
10006_at,10006,abl-interactor 1
10007_at,10007,glucosamine-6-phosphate deaminase 1
10009_at,10009,zinc finger and BTB domain containing 33
1001_at,1001,"cadherin 3, type 1, P-cadherin (placental)"
10010_at,10010,TRAF family member-associated NFKB activator
10013_at,10013,histone deacetylase 6
10014_at,10014,histone deacetylase 5
10015_at,10015,programmed cell death 6 interacting protein
10016_at,10016,programmed cell death 6
10017_at,10017,BCL2-like 10 (apoptosis facilitator)
10018_at,10018,BCL2-like 11 (apoptosis facilitator)
10019_at,10019,SH2B adaptor protein 3
1002_at,1002,"cadherin 4, type 1, R-cadherin (retinal)"
10020_at,10020,glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
10021_at,10021,hyperpolarization activated cyclic nucleotide-gated potassium channel 4
10022_at,10022,insulin-like 5
10023_at,10023,frequently rearranged in advanced T-cell lymphomas
10024_at,10024,trophinin associated protein (tastin)
10025_at,10025,mediator complex subunit 16
10026_at,10026,"phosphatidylinositol glycan anchor biosynthesis, class K"
1003_at,1003,"cadherin 5, type 2, VE-cadherin (vascular epithelium)"
10036_at,10036,"chromatin assembly factor 1, subunit A (p150)"
10038_at,10038,"poly (ADP-ribose) polymerase family, member 2"
10039_at,10039,"poly (ADP-ribose) polymerase family, member 3"
1004_at,1004,"cadherin 6, type 2, K-cadherin (fetal kidney)"
10040_at,10040,target of myb1 (chicken)-like 1
10042_at,10042,high-mobility group protein 2-like 1
10043_at,10043,target of myb1 (chicken)
10045_at,10045,SH2 domain containing 3A
10046_at,10046,chromosome X open reading frame 6
10047_at,10047,cystatin 8 (cystatin-related epididymal specific)
10048_at,10048,RAN binding protein 9
10049_at,10049,"DnaJ (Hsp40) homolog, subfamily B, member 6"
1005_at,1005,"cadherin 7, type 2"
10050_at,10050,"solute carrier family 17 (sodium phosphate), member 4"
10051_at,10051,structural maintenance of chromosomes 4
10052_at,10052,"gap junction protein, alpha 7, 45kDa"
10053_at,10053,"adaptor-related protein complex 1, mu 2 subunit"
10054_at,10054,SUMO1 activating enzyme subunit 2
10055_at,10055,SUMO1 activating enzyme subunit 1
10057_at,10057,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5"
10058_at,10058,"ATP-binding cassette, sub-family B (MDR/TAP), member 6"
10059_at,10059,dynamin 1-like
1006_at,1006,"cadherin 8, type 2"
10060_at,10060,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9"
10061_at,10061,"ATP-binding cassette, sub-family F (GCN20), member 2"
10062_at,10062,"nuclear receptor subfamily 1, group H, member 3"
10066_at,10066,secretory carrier membrane protein 2
10067_at,10067,secretory carrier membrane protein 3
10069_at,10069,RWD domain containing 2B
1007_at,1007,"cadherin 9, type 2 (T1-cadherin)"
10072_at,10072,dipeptidyl-peptidase 3
10073_at,10073,snurportin 1
10075_at,10075,"HECT, UBA and WWE domain containing 1"
10076_at,10076,"protein tyrosine phosphatase, receptor type, U"
10077_at,10077,tetraspanin 32
10078_at,10078,tumor suppressing subtransferable candidate 4
10079_at,10079,"ATPase, Class II, type 9A"
1008_at,1008,"cadherin 10, type 2 (T2-cadherin)"
10083_at,10083,"Usher syndrome 1C (autosomal recessive, severe)"
10084_at,10084,polyglutamine binding protein 1
10085_at,10085,EGF-like repeats and discoidin I-like domains 3
10086_at,10086,HERV-H LTR-associating 1
10087_at,10087,"collagen, type IV, alpha 3 (Goodpasture antigen) binding protein"
10089_at,10089,"potassium channel, subfamily K, member 7"
1009_at,1009,"cadherin 11, type 2, OB-cadherin (osteoblast)"
10090_at,10090,uronyl-2-sulfotransferase
10092_at,10092,"actin related protein 2/3 complex, subunit 5, 16kDa"
10093_at,10093,"actin related protein 2/3 complex, subunit 4, 20kDa"
10095_at,10095,"actin related protein 2/3 complex, subunit 1B, 41kDa"
10096_at,10096,ARP3 actin-related protein 3 homolog (yeast)
10097_at,10097,ARP2 actin-related protein 2 homolog (yeast)
10098_at,10098,tetraspanin 5
10099_at,10099,tetraspanin 3
101_at,101,ADAM metallopeptidase domain 8
1010_at,1010,"cadherin 12, type 2 (N-cadherin 2)"
10100_at,10100,tetraspanin 2
10101_at,10101,"nucleotide binding protein 2 (MinD homolog, E. coli)"
10102_at,10102,"Ts translation elongation factor, mitochondrial"
10103_at,10103,tetraspanin 1
10105_at,10105,peptidylprolyl isomerase F (cyclophilin F)
10106_at,10106,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2"
10107_at,10107,tripartite motif-containing 10
10109_at,10109,"actin related protein 2/3 complex, subunit 2, 34kDa"
10110_at,10110,serum/glucocorticoid regulated kinase 2
10111_at,10111,RAD50 homolog (S. cerevisiae)
10112_at,10112,kinesin family member 20A
10113_at,10113,prolactin regulatory element binding
10114_at,10114,homeodomain interacting protein kinase 3
10116_at,10116,fem-1 homolog b (C. elegans)
1012_at,1012,"cadherin 13, H-cadherin (heart)"
10120_at,10120,"ARP1 actin-related protein 1 homolog B, centractin beta (yeast)"
10121_at,10121,"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"
10123_at,10123,ADP-ribosylation factor-like 4C
10125_at,10125,RAS guanyl releasing protein 1 (calcium and DAG-regulated)
10126_at,10126,"dynein, axonemal, light chain 4"
10127_at,10127,zinc finger protein 263
10128_at,10128,leucine-rich PPR-motif containing
10129_at,10129,furry homolog (Drosophila)
1013_at,1013,"cadherin 15, M-cadherin (myotubule)"
10130_at,10130,"protein disulfide isomerase family A, member 6"
10131_at,10131,TNF receptor-associated protein 1
10133_at,10133,optineurin
10134_at,10134,B-cell receptor-associated protein 31
10136_at,10136,"elastase 3A, pancreatic"
10137_at,10137,RNA binding motif protein 12
10138_at,10138,YY1 associated factor 2
10139_at,10139,ADP-ribosylation factor related protein 1
1014_at,1014,"cadherin 16, KSP-cadherin"
10140_at,10140,"transducer of ERBB2, 1"
10141_at,10141,chromosome 4 open reading frame 6
10142_at,10142,A kinase (PRKA) anchor protein (yotiao) 9
10144_at,10144,"family with sequence similarity 13, member A1"
10146_at,10146,GTPase activating protein (SH3 domain) binding protein 1
10147_at,10147,"splicing factor, arginine/serine-rich 14"
10148_at,10148,Epstein-Barr virus induced gene 3
10149_at,10149,G protein-coupled receptor 64
1015_at,1015,"cadherin 17, LI cadherin (liver-intestine)"
10150_at,10150,muscleblind-like 2 (Drosophila)
10151_at,10151,heterogeneous nuclear ribonucleoprotein A3 pseudogene 1
10152_at,10152,abl interactor 2
10153_at,10153,CCAAT/enhancer binding protein zeta
10154_at,10154,plexin C1
10155_at,10155,tripartite motif-containing 28
10157_at,10157,aminoadipate-semialdehyde synthase
10158_at,10158,PDZK1 interacting protein 1
10159_at,10159,"ATPase, H+ transporting, lysosomal accessory protein 2"
1016_at,1016,"cadherin 18, type 2"
10160_at,10160,"FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)"
10161_at,10161,"purinergic receptor P2Y, G-protein coupled, 5"
10162_at,10162,membrane bound O-acyltransferase domain containing 5
10164_at,10164,carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4
10165_at,10165,"solute carrier family 25, member 13 (citrin)"
10168_at,10168,zinc finger protein 197
10169_at,10169,small EDRK-rich factor 2
1017_at,1017,cyclin-dependent kinase 2
10170_at,10170,dehydrogenase/reductase (SDR family) member 9
10171_at,10171,RNA terminal phosphate cyclase-like 1
10174_at,10174,sorbin and SH3 domain containing 3
10175_at,10175,cornichon homolog (Drosophila)
10179_at,10179,RNA binding motif protein 7
1018_at,1018,cyclin-dependent kinase 3
10180_at,10180,RNA binding motif protein 6
10181_at,10181,RNA binding motif protein 5
10184_at,10184,lipoma HMGIC fusion partner-like 2
10186_at,10186,lipoma HMGIC fusion partner
10188_at,10188,"tyrosine kinase, non-receptor, 2"
1019_at,1019,cyclin-dependent kinase 4
10190_at,10190,thioredoxin domain containing 9
10193_at,10193,ring finger protein 41
10195_at,10195,"asparagine-linked glycosylation 3 homolog (S. cerevisiae, alpha-1,3-mannosyltransferase)"
10196_at,10196,protein arginine methyltransferase 3
10197_at,10197,"proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)"
10198_at,10198,M-phase phosphoprotein 9
10199_at,10199,M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)
102_at,102,ADAM metallopeptidase domain 10
1020_at,1020,cyclin-dependent kinase 5
10200_at,10200,M-phase phosphoprotein 6
10201_at,10201,"non-metastatic cells 6, protein expressed in (nucleoside-diphosphate kinase)"
10202_at,10202,dehydrogenase/reductase (SDR family) member 2
10203_at,10203,calcitonin receptor-like
10205_at,10205,myelin protein zero-like 2
10206_at,10206,tripartite motif-containing 13
10207_at,10207,InaD-like (Drosophila)
10208_at,10208,ubiquitin specific peptidase like 1
10209_at,10209,eukaryotic translation initiation factor 1
1021_at,1021,cyclin-dependent kinase 6
10210_at,10210,"topoisomerase I binding, arginine/serine-rich"
10211_at,10211,flotillin 1
10212_at,10212,DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
10213_at,10213,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 14"
10214_at,10214,"synovial sarcoma, X breakpoint 3"
10215_at,10215,oligodendrocyte lineage transcription factor 2
10216_at,10216,proteoglycan 4
10217_at,10217,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like"
10218_at,10218,angiopoietin-like 7
10219_at,10219,"killer cell lectin-like receptor subfamily G, member 1"
1022_at,1022,"cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)"
10220_at,10220,growth differentiation factor 11
10221_at,10221,tribbles homolog 1 (Drosophila)
10223_at,10223,glycoprotein A33 (transmembrane)
10224_at,10224,zinc finger protein 443
10225_at,10225,CD96 molecule
10226_at,10226,mannose-6-phosphate receptor binding protein 1
10227_at,10227,tetracycline transporter-like protein
10228_at,10228,syntaxin 6
10229_at,10229,"coenzyme Q7 homolog, ubiquinone (yeast)"
10230_at,10230,neighbor of BRCA1 gene 2
10231_at,10231,regulator of calcineurin 2
10232_at,10232,mesothelin
10233_at,10233,leucine rich repeat containing 23
10234_at,10234,leucine rich repeat containing 17
10235_at,10235,RAS guanyl releasing protein 2 (calcium and DAG-regulated)
10236_at,10236,heterogeneous nuclear ribonucleoprotein R
10237_at,10237,"solute carrier family 35, member B1"
10238_at,10238,WD repeat domain 68
10239_at,10239,"adaptor-related protein complex 3, sigma 2 subunit"
10240_at,10240,mitochondrial ribosomal protein S31
10241_at,10241,calcium binding and coiled-coil domain 2
10242_at,10242,"potassium large conductance calcium-activated channel, subfamily M, beta member 2"
10243_at,10243,gephyrin
10244_at,10244,Rab9 effector protein with kelch motifs
10245_at,10245,translocase of inner mitochondrial membrane 17 homolog B (yeast)
10246_at,10246,"solute carrier family 17 (sodium phosphate), member 2"
10247_at,10247,heat-responsive protein 12
10248_at,10248,"processing of precursor 7, ribonuclease P/MRP subunit (S. cerevisiae)"
10249_at,10249,glycine-N-acyltransferase
1025_at,1025,cyclin-dependent kinase 9 (CDC2-related kinase)
10250_at,10250,serine/arginine repetitive matrix 1
10252_at,10252,"sprouty homolog 1, antagonist of FGF signaling (Drosophila)"
10253_at,10253,sprouty homolog 2 (Drosophila)
10254_at,10254,signal transducing adaptor molecule (SH3 domain and ITAM motif) 2
10255_at,10255,HLA complex group 9
10256_at,10256,connector enhancer of kinase suppressor of Ras 1
10257_at,10257,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"
